id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
28408,Chaai Resto,No,No,3.6,54,Koramangala 6th Block,"Beverage Shop, Quick Bites","Ginger Tea, Poha, Irani Chai, Chaai, Sandwich, Thick Shakes","Tea, Beverages, Fast Food",250.0,Cafes
28440,Fish Chain,Yes,No,4.0,58,HSR,"Takeaway, Delivery",Mustard Fish Curry,"Seafood, BBQ, Biryani",250.0,Delivery
28481,Sagar Fast Food,Yes,No,4.0,138,Koramangala 8th Block,Quick Bites,Neer Dosa,"South Indian, North Indian, Street Food, Chinese",250.0,Delivery
28575,Sri Udupi Park,Yes,No,4.0,65,HSR,Casual Dining,Tea,"South Indian, North Indian, Chinese, Beverages",300.0,Delivery
28589,Tarbouche,Yes,No,4.0,269,Koramangala 5th Block,Kiosk,"Falafel, Lamb Kebab, Rolls, Fattoush, Teriyaki Chicken, Fries, Shawarma","Turkish, Rolls",300.0,Delivery
28792,Goli Vada Pav No. 1,Yes,No,3.7,215,Koramangala 5th Block,Quick Bites,"Cheese Vada Pav, Kulfi, Burgers, Tikki, Cheese Fingers, Schezwan Vada Pav",Street Food,200.0,Delivery
28808,GKT Biryani World,Yes,No,3.7,85,HSR,Quick Bites,"Pizza, Chicken Biryani","Biryani, Italian, BBQ",350.0,Delivery
28835,EggFactor - Street House,Yes,No,4.2,62,HSR,Kiosk,"Omelette, Chicken Grill",Fast Food,200.0,Delivery
28871,The Shawarma Inc,Yes,No,3.4,95,Koramangala 5th Block,Quick Bites,"Whole Meat Shawarma, Jumbo Shawarma, Spicy Shawarma, Momos","Arabian, Fast Food",200.0,Delivery
28911,The Mylapore Cafe,Yes,No,4.1,121,HSR,Quick Bites,"Masala Dosa, Pongal, Filter Coffee, Tea, Idli","South Indian, Kerala",200.0,Delivery
28924,Srinidhi Sagar Deluxe,Yes,No,3.6,108,Domlur,Quick Bites,"Idli, Coffee, Masala Dosa, Fruit Juices, Vada, Thali, Manchurian","South Indian, North Indian, Chinese",40.0,Delivery
28948,The Waffle Street,Yes,No,3.9,55,HSR,"Quick Bites, Dessert Parlor","Waffles, Pasta Alfredo, Hot Coffee","Continental, Beverages, Burger, Coffee, Desserts",300.0,Delivery
28959,Southinn,Yes,No,3.8,191,HSR,Quick Bites,"Vada, Idli, Masala Dosa, Filter Coffee, Tea, Sandwiches","South Indian, Fast Food, Chinese, North Indian, Street Food",250.0,Delivery
28972,Chaai Resto,Yes,No,3.9,93,HSR,"Beverage Shop, Quick Bites","Burgers, Chai, Paratha, Sandwich, Ginger Tea, Chaat, Oreo Shake","Tea, Beverages, Fast Food",250.0,Delivery
28994,Juicy Momos,Yes,No,3.6,69,Koramangala 5th Block,Quick Bites,"Veg Momos, Burgers, Chocolate Momos, Momo Burger, Whole Meat Shawarma, Paneer Momos","Tibetan, Momos",250.0,Delivery
29008,Mangala Hotel,Yes,No,3.6,97,Koramangala 1st Block,Quick Bites,"Masala Dosa, Biryani, Chicken Stew, Tea, Appam, Paratha","Kerala, Chinese, North Indian",300.0,Delivery
29027,Litti Twist,Yes,No,4.2,106,Hosur Road,Quick Bites,"Paratha, Liti Chokha, Buttermilk, Tea, Aloo Litti, Raita","Bihari, North Indian",300.0,Delivery
29030,Chapati House,Yes,No,3.9,34,Ejipura,Quick Bites,Naan,North Indian,300.0,Delivery
29035,Khan Saheb Grills and Rolls,Yes,No,3.8,63,Hosur Road,Quick Bites,"Rolls, Veggie Roll, Chicken Tikka Roll, Beda Roti","Fast Food, Rolls",350.0,Delivery
29203,Big Mishra Pedha,No,No,3.7,61,BTM,Sweet Shop,Rasmalai,Mithai,250.0,Delivery
29349,Cupcake Noggins,No,No,4.1,724,Koramangala 4th Block,"Dessert Parlor, Bakery","Cup Cake, Truffle, Raspberry Cheesecake, Burgers, Blueberry Cheesecake, Chocolate Chocochip, Chocolate Crunch","Desserts, Bakery",300.0,Delivery
29361,Paratha Plaza,No,No,3.9,220,Koramangala 4th Block,Quick Bites,"Dum Aloo, Sweet Lassi, Aloo Paratha, Biryani",North Indian,250.0,Delivery
29448,Kick Out the Jams,Yes,No,4.0,529,Ejipura,Delivery,"Burgers, Pizza, Bacon Burger, Wings, Cheesecake, Chicken Burger, Pepperoni","Burger, American, Italian",350.0,Delivery
29734,The ThickShake Factory,No,No,4.3,236,Koramangala 7th Block,Beverage Shop,"Thick Shakes, Belgium Chocolate, Triple Choco Chip, Chocolate Thickshake, Brownie Shake, Mango Blast, Belgian Chocolate Shake","Beverages, Juices",350.0,Delivery
29748,Falahaar,No,No,3.9,154,Koramangala 6th Block,Quick Bites,"Sabudana Khichdi, Pav Bhaji, Pyaz Kachori, Chole Bhature, Faluda, Malai Ghewar, Lassi","North Indian, Street Food",200.0,Delivery
29814,Delightz,No,No,4.0,40,Koramangala 6th Block,Dessert Parlor,"Waffles, Burgers, Tea, Pasta, Garlic Bread","Desserts, Fast Food",300.0,Delivery
29839,The Sweet Spot,No,No,4.0,157,Koramangala 6th Block,Dessert Parlor,"Brownie, Vanilla Ice Cream",Desserts,300.0,Delivery
29960,Hotel Feast Ambur Biriyani,Yes,No,3.4,257,Koramangala 1st Block,Quick Bites,"Chicken Biryani, Chicken Kebab","Biryani, Kebab",250.0,Delivery
30506,Chai Point,No,No,4.0,293,Koramangala 6th Block,"Beverage Shop, Quick Bites","Ginger Tea, Masala Tea, Banana Cake, Poha, Samosa, Vada Pav, Sandwiches","Tea, Beverages, Fast Food",250.0,Dine-out
30552,Uday Sweets,Yes,No,3.5,34,Koramangala 6th Block,Sweet Shop,"Jalebi, Poha, Puri Sabzi","Mithai, Fast Food",250.0,Dine-out
30636,Madurai Idly Shop,No,No,3.7,468,Koramangala 6th Block,Quick Bites,"Tea, Upma, Coffee, Pongal, Podi Idli, Masala Vada, Mini Idlis",South Indian,200.0,Dine-out
30651,Ramji Chaiwale,Yes,No,3.8,94,Koramangala 1st Block,Quick Bites,"Chai, Ginger Tea, Maggi, Aloo Paratha, Samosa, Coffee, Sandwich","Beverages, Fast Food",250.0,Dine-out
30723,Ande Ka Funda,No,No,3.7,73,Koramangala 7th Block,Quick Bites,"Rolls, Aloo Paratha, Lassi, Bread Omelette","North Indian, Chinese, Rolls",250.0,Dine-out
